shoesIDX,shoesID,pro_name
573,1021A123-020,GEL-QUANTUM 90
574,1021A123-021,GEL-QUANTUM 90
575,1021A123-024,GEL-QUANTUM 90
576,1021A123-025,GEL-QUANTUM 90
577,1021A123-300,GEL-QUANTUM 90
578,1021A123-302,GEL-QUANTUM 90
579,1021A123-400,GEL-QUANTUM 90
580,1021A123-600,GEL-QUANTUM 90
581,1021A123-602,GEL-QUANTUM 90
582,1021A127-600,GEL-Quantum Infinity Future Renaissance
583,1021A128-020,GEL-Kayano 25
584,1021A133-750,GEL-QUANTUM 90
585,1021A134-001,GEL-Quantum 360 CM
586,1021A134-401,GEL-Quantum 360 CM
587,1021A134-402,GEL-Quantum 360 CM
588,1021A146-001,GEL-Quantum 360 4
589,1021A147-001,GEL-Quantum 180 4
590,1021A148-001,GEL-Quantum 90
591,1021A150-020,GEL-QUANTUM 360 5 Trail
592,1021A153-001,GEL-QUANTUM 360 5 JCQ
593,1021A153-021,GEL-QUANTUM 360 5 JCQ
594,1021A157-100,GEL-KAYANO 5 360
595,1021A158-020,GEL-KAYANO 5 360
596,1021A159-001,GEL-KAYANO 5 360
597,1021A159-100,GEL-KAYANO 5 360
598,1021A159-400,GEL-KAYANO 5 360
599,1021A160-100,GEL-KAYANO 5 360
600,1021A160-101,GEL-KAYANO 5 360
601,1021A161-001,GEL-KAYANO 5 360
602,1021A161-100,GEL-KAYANO 5 360
603,1021A163-001,GEL-KAYANO 5 OG
604,1021A163-400,GEL-KAYANO 5 OG
605,1021A164-200,GEL-KAYANO 5 OG
606,1021A167-100,GEL-KAYANO 5 OG
607,1021A171-750,GEL-QUANTUM INFINITY
608,1021A172-001,GEL-QUANTUM 360 5 LITE-SHOW
609,1021A173-100,GEL-QUANTUM 360 5
610,1021A175-001,GEL-BND
611,1021A182-100,GEL-KAYANO 5 OG
612,1021A216-001,GEL-BND
613,1021A216-100,GEL-BND
614,1021A216-300,GEL-BND
615,1021A217-101,GEL-BND
616,1021A217-102,GEL-BND
617,1021A221-002,GEL-CITREK
